|CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO|IOEB
0|1100015|2015.0|11022558.0|170.1315789473684|2.0|0.4011213435085277|14.0|5.7105263157894735|383.31578947368416|4.6
1|1100023|2015.0|11006722.0|605.6458333333334|17.333333333333332|3.2436539939094464|47.0|13.125|1083.9166666666667|4.4
2|1100031|2015.0|11033924.0|228.0|6.5|3.7886764741586103|8.0|9.0|502.25|4.8
3|1100049|2015.0|11025670.0|454.5|13.032258064516132|3.2481264549700675|42.0|10.709677419354838|752.0322580645161|4.7
4|1100056|2015.0|11034459.0|306.625|9.0|2.6220834996367297|16.0|10.0625|672.625|4.7
5|1100064|2015.0|11035099.0|319.0588235294117|19.235294117647054|6.388959452716758|17.0|12.647058823529413|969.5882352941176|4.7
6|1100072|2015.0|11036125.0|217.45454545454547|11.181818181818182|6.759578845294956|6.0|7.454545454545454|502.7272727272728|4.5
7|1100080|2015.0|11005386.0|284.875|6.125|2.4854225249014066|13.0|7.0|509.625|4.0
8|1100098|2015.0|11027487.0|310.25|10.214285714285714|2.741257001060116|19.0|7.428571428571429|577.1071428571429|4.9
9|1100106|2015.0|11005874.0|228.49253731343285|4.955223880597014|1.3651737150629708|26.0|5.104477611940299|365.8955223880597|3.7
10|1100114|2015.0|11011157.0|392.7|8.35|2.726676485198423|35.0|8.825|661.975|4.3
11|1100122|2015.0|11013133.0|418.5274725274725|12.681318681318679|2.528248721558436|67.0|8.76923076923077|678.2747252747253|4.6
12|1100130|2015.0|11007966.0|292.24242424242425|6.96969696969697|1.58016622489472|15.0|7.272727272727272|455.5151515151515|4.0
13|1100148|2015.0|11021420.0|347.7333333333333|5.8|1.0807021871233295|13.0|7.333333333333332|575.6|4.9
14|1100155|2015.0|11016221.0|486.0|12.5|2.9731180230197216|24.0|10.041666666666666|824.0416666666665|4.7
15|1100189|2015.0|11031433.0|381.8709677419355|9.451612903225808|4.404678572697012|31.0|8.161290322580646|628.3870967741935|4.7
16|1100205|2015.0|11000023.0|565.644128113879|10.512455516014237|2.8524160714957976|207.0|10.715302491103204|765.0889679715303|3.9
17|1100254|2015.0|11000422.0|347.57142857142856|9.047619047619047|1.9984748311576293|18.0|8.428571428571429|706.6190476190477|4.7
18|1100262|2015.0|11009128.0|331.3333333333333|6.0|1.060070671378092|3.0|10.333333333333334|699.0|4.1
19|1100288|2015.0|11028440.0|648.0|13.84|3.0430518483657516|25.0|15.0|1087.56|4.6
20|1100296|2015.0|11029510.0|248.0|4.0|1.401006045490269|7.0|6.875|545.0|4.6
21|1100304|2015.0|11033150.0|470.7636363636364|11.981818181818182|2.422991234506784|51.0|9.872727272727273|877.8363636363637|4.7
22|1100320|2015.0|11022256.0|347.11111111111114|5.777777777777778|1.90908597244929|8.0|8.555555555555555|541.3333333333334|4.6
23|1100338|2015.0|11003839.0|119.91304347826087|0.9710144927536232|0.858850301751415|15.0|3.188405797101449|203.231884057971|3.8
24|1100346|2015.0|11000589.0|281.75|4.875|1.214577358381439|12.0|7.875|579.5625|4.7
25|1100379|2015.0|11024437.0|283.6363636363636|2.090909090909091|0.29383892809245643|6.0|7.363636363636362|493.6363636363636|4.6
26|1100403|2015.0|11006803.0|290.3125|9.0625|2.8993752144017764|4.0|5.125|464.3125|3.9
27|1100452|2015.0|11004428.0|274.40540540540536|5.3243243243243255|1.1815911508807793|15.0|4.8108108108108105|387.7837837837838|4.3
28|1100502|2015.0|11030003.0|271.2|7.0|1.9500679020261813|9.0|6.4|512.1|4.7
29|1100601|2015.0|11010290.0|274.0|12.0|6.176487550217497|4.0|10.0|747.4|4.5
30|1100700|2015.0|11004347.0|369.33333333333326|5.666666666666668|1.3452512009008868|6.0|10.111111111111109|555.7777777777778|4.0
31|1100809|2015.0|11004860.0|395.10526315789474|2.1052631578947367|0.30739384195950786|10.0|5.421052631578949|421.9473684210528|3.6
32|1100908|2015.0|11030658.0|230.4|5.2|1.6537039948636405|4.0|6.6|514.0|0.0
33|1100924|2015.0|11032065.0|224.5|7.5|2.2023355628238237|8.0|6.2142857142857135|431.07142857142856|4.3
34|1100940|2015.0|11009136.0|667.875|5.5|1.1240370042698722|5.0|12.25|780.5|3.8
35|1101005|2015.0|11019034.0|179.53333333333333|1.7333333333333334|0.4915876971518266|6.0|5.4|316.6666666666667|4.1
36|1101104|2015.0|11005092.0|333.8888888888889|2.7777777777777777|0.4940496381597664|6.0|5.777777777777778|446.33333333333326|3.4
37|1101203|2015.0|11031000.0|331.125|8.625|2.43733350700629|7.0|11.0|608.875|4.7
38|1101302|2015.0|11019689.0|294.92307692307685|9.461538461538463|3.348242565537689|10.0|6.230769230769232|539.3846153846154|5.0
39|1101401|2015.0|11010665.0|417.54545454545456|7.8181818181818175|3.1600568164923213|9.0|8.909090909090908|695.2727272727273|4.3
40|1101435|2015.0|11016469.0|385.4|8.0|2.0450001615456688|3.0|11.2|703.8|4.4
41|1101450|2015.0|11031565.0|135.0|1.25|0.3012048192771085|2.0|4.375|261.25|4.1
42|1101468|2015.0|11035080.0|206.0|5.666666666666668|1.9607843137254903|3.0|6.666666666666668|544.6666666666666|4.4
43|1101476|2015.0|11031913.0|245.2|8.6|3.6340309735174543|5.0|7.2|547.8|4.5
44|1101484|2015.0|11031964.0|378.6|10.2|2.4190968988432813|5.0|9.4|728.4|4.7
45|1101492|2015.0|11005475.0|347.75|5.4375|2.186213197296011|14.0|8.3125|501.0625|4.2
46|1101500|2015.0|11022884.0|404.83333333333326|7.416666666666668|6.3000542738856256|10.0|7.166666666666668|556.3333333333334|4.4
47|1101559|2015.0|11016850.0|332.8|2.2|0.4873963515754561|5.0|7.0|658.0|4.9
48|1101609|2015.0|11020296.0|369.4444444444445|4.777777777777779|1.1601532325457058|8.0|12.111111111111109|781.6666666666665|4.5
49|1101708|2015.0|11020482.0|276.6666666666667|4.166666666666667|1.4136408721864735|12.0|6.833333333333332|515.4166666666666|4.6
50|1101757|2015.0|11008105.0|268.8888888888889|6.4444444444444455|2.966217642689936|3.0|9.0|463.4444444444445|4.4
51|1101807|2015.0|11020997.0|242.25|9.375|2.8254943054080086|5.0|7.125|533.625|4.5
52|1200013|2015.0|12008966.0|302.875|2.75|0.5041536373869068|7.0|7.25|405.875|4.4
53|1200054|2015.0|12007285.0|55.87301587301587|0.09523809523809523|0.008332291796858725|2.0|2.031746031746032|91.14285714285714|3.9
54|1200104|2015.0|12016136.0|119.30555555555556|2.180555555555556|3.2786666033396967|11.0|2.8695652173913038|178.1594202898551|4.4
55|1200138|2015.0|12009350.0|105.56410256410255|1.4871794871794872|0.32325935712457515|4.0|2.743589743589744|165.46153846153842|3.9
56|1200179|2015.0|12009725.0|263.1764705882353|2.9411764705882355|0.4842000531243026|5.0|4.411764705882354|308.4117647058824|3.7
57|1200203|2015.0|12000094.0|206.32085561497325|3.882352941176471|1.67021902730218|82.0|4.550802139037434|334.73262032085563|4.4
58|1200252|2015.0|12017060.0|246.76190476190484|2.7142857142857144|0.5967844538698523|6.0|5.047619047619048|387.33333333333326|4.2
59|1200302|2015.0|12003930.0|99.03546099290779|1.1560283687943262|1.4687670962134034|15.0|2.2836879432624118|148.36879432624113|4.1
60|1200328|2015.0|12005070.0|61.3943661971831|0.2112676056338028|0.3010662782491184|3.0|2.056338028169014|106.66197183098593|3.2
61|1200336|2015.0|12000205.0|161.30612244897958|2.3061224489795915|0.4466718150295215|10.0|3.8163265306122454|241.8367346938776|3.6
62|1200344|2015.0|12006580.0|104.41176470588236|1.3529411764705883|1.101979493497046|7.0|2.176470588235294|162.38235294117646|3.7
63|1200351|2015.0|12002410.0|136.3421052631579|0.2631578947368421|0.024837337614817243|6.0|2.986842105263158|153.21052631578948|0.0
64|1200385|2015.0|12009911.0|235.32142857142856|4.392857142857143|1.3964683532374254|12.0|5.214285714285714|385.21428571428567|4.0
65|1200393|2015.0|12002976.0|101.3191489361702|0.5957446808510638|0.07212130386009237|2.0|2.4255319148936167|151.57446808510642|3.1
66|1200401|2015.0|12009172.0|464.5243445692884|11.45318352059925|3.4204723120375067|183.0|9.910112359550562|755.4569288389513|4.6
67|1200427|2015.0|12001465.0|128.55844155844156|1.051948051948052|0.3416722775662397|13.0|2.7777777777777777|179.5|3.7
68|1200435|2015.0|12007021.0|58.27272727272727|1.2545454545454546|0.7048229893423308|3.0|1.5818181818181818|114.21818181818182|3.1
69|1200450|2015.0|12009997.0|261.5|4.472222222222221|3.5662002096854155|19.0|5.388888888888888|438.0555555555555|4.4
70|1200500|2015.0|12007374.0|90.52229299363056|1.7388535031847134|0.8382069763797275|19.0|2.4012738853503186|145.7643312101911|3.9
71|1200609|2015.0|12005398.0|202.8125|1.9791666666666667|0.5596105130472239|19.0|3.46875|237.8125|4.1
72|1200708|2015.0|12017426.0|89.91304347826087|1.318840579710145|0.3637272743280647|10.0|2.652173913043478|156.52173913043478|3.9
73|1200807|2015.0|12011460.0|190.85714285714286|1.2571428571428571|0.3463546809873733|7.0|3.8571428571428568|265.7428571428572|3.9
74|1300029|2015.0|13012533.0|122.0701754385965|2.0701754385964914|5.654061356199519|4.0|3.8571428571428568|188.2142857142857|0.0
75|1300060|2015.0|13004298.0|150.0|2.413793103448276|1.1494266377743758|6.0|4.111111111111111|249.59259259259255|3.4
76|1300086|2015.0|13014269.0|116.59375|3.28125|1.7630274983283083|9.0|3.5161290322580645|324.64516129032256|3.9
77|1300102|2015.0|13014846.0|142.25|3.9642857142857135|0.9431322528413836|4.0|3.814814814814815|241.2592592592593|3.7
78|1300144|2015.0|13048368.0|213.05263157894737|2.1052631578947367|1.3340840771630489|5.0|6.888888888888888|360.9444444444445|4.2
79|1300201|2015.0|13004620.0|91.33802816901407|0.9014084507042254|0.3991740813188485|7.0|1.9705882352941175|142.44117647058823|3.0
80|1300300|2015.0|13018990.0|263.12280701754383|3.5614035087719302|1.4046839470180104|6.0|6.1454545454545455|390.1636363636364|3.4
81|1300409|2015.0|13000055.0|121.07547169811322|1.4150943396226414|0.22358381377080414|8.0|4.044444444444443|208.42222222222225|3.6
82|1300508|2015.0|13037951.0|157.37864077669903|2.116504854368932|0.812373133124146|12.0|2.8811881188118815|207.71287128712868|3.3
83|1300607|2015.0|13005006.0|234.1875|3.140625|0.6035261741501103|12.0|4.65625|338.015625|3.5
84|1300631|2015.0|13015338.0|102.83544303797468|1.7088607594936709|0.4698415677171881|6.0|2.236842105263158|142.80263157894737|3.5
85|1300680|2015.0|13038931.0|144.9056603773585|1.6792452830188682|0.5118845404737888|8.0|3.0980392156862746|203.921568627451|3.5
86|1300706|2015.0|13044737.0|92.13157894736842|0.9912280701754386|0.2692017581561077|22.0|2.455357142857143|168.66964285714286|4.3
87|1300805|2015.0|13048660.0|95.14110429447851|1.3680981595092023|0.4387970075090366|16.0|2.5123456790123457|133.27777777777777|3.4
88|1300839|2015.0|13016067.0|109.28|1.24|1.1913532954683104|5.0|3.0408163265306123|201.6734693877551|3.3
89|1300904|2015.0|13046470.0|85.8913043478261|1.1304347826086956|0.6950874862679742|5.0|2.355555555555556|154.4|3.2
90|1301001|2015.0|13008480.0|183.91803278688525|4.508196721311474|1.5246951025830535|9.0|4.383333333333334|276.4|4.2
91|1301100|2015.0|13020269.0|280.37254901960785|3.5882352941176467|3.827432380310388|19.0|5.56|310.42|3.5
92|1301159|2015.0|13020927.0|133.2962962962963|3.092592592592593|4.7999892241802735|23.0|3.679245283018868|310.05660377358487|3.4
93|1301209|2015.0|13016369.0|156.33333333333334|2.146892655367232|0.4870782261609447|21.0|4.715909090909091|288.0056818181818|3.4
