|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
165|1501105|2015.0|35.0|2.9
166|1501204|2015.0|32.0|3.0
167|1501253|2015.0|13.0|3.1
168|1501303|2015.0|457.0|3.2
169|1501402|2015.0|5881.0|3.5
170|1501451|2015.0|78.0|3.6
171|1501501|2015.0|284.0|3.6
172|1501576|2015.0|62.0|3.6
173|1501600|2015.0|86.0|3.1
174|1501709|2015.0|1058.0|3.3
175|1501725|2015.0|93.0|3.8
176|1501758|2015.0|75.0|3.1
177|1501782|2015.0|351.0|3.2
178|1501808|2015.0|539.0|3.1
179|1501907|2015.0|154.0|3.0
180|1501956|2015.0|53.0|3.6
181|1502004|2015.0|56.0|3.2
182|1502103|2015.0|560.0|3.1
183|1502152|2015.0|211.0|4.1
184|1502202|2015.0|234.0|3.3
185|1502301|2015.0|285.0|3.1
186|1502400|2015.0|1164.0|3.6
187|1502509|2015.0|20.0|3.1
188|1502608|2015.0|94.0|3.2
189|1502707|2015.0|522.0|3.5
190|1502756|2015.0|185.0|3.0
191|1502764|2015.0|14.0|3.1
192|1502772|2015.0|120.0|3.2
193|1502806|2015.0|81.0|2.5
194|1502855|2015.0|101.0|2.9
195|1502905|2015.0|135.0|2.8
196|1502939|2015.0|300.0|3.7
197|1502954|2015.0|112.0|3.6
198|1503002|2015.0|21.0|3.0
199|1503044|2015.0|112.0|3.3
200|1503077|2015.0|74.0|3.0
201|1503093|2015.0|257.0|3.5
202|1503101|2015.0|153.0|2.8
203|1503200|2015.0|212.0|3.1
204|1503309|2015.0|103.0|3.1
205|1503408|2015.0|52.0|3.1
206|1503457|2015.0|81.0|3.3
207|1503507|2015.0|165.0|3.3
208|1503606|2015.0|696.0|3.5
209|1503705|2015.0|48.0|2.7
210|1503754|2015.0|46.0|2.7
211|1503804|2015.0|350.0|3.4
212|1503903|2015.0|134.0|3.4
213|1504000|2015.0|60.0|3.0
214|1504059|2015.0|448.0|3.9
215|1504109|2015.0|7.0|3.1
216|1504208|2015.0|2118.0|3.7
217|1504307|2015.0|96.0|3.1
218|1504406|2015.0|147.0|2.7
219|1504422|2015.0|408.0|3.2
220|1504455|2015.0|145.0|3.2
221|1504505|2015.0|40.0|2.8
222|1504604|2015.0|137.0|3.3
223|1504703|2015.0|253.0|3.2
224|1504752|2015.0|48.0|0.0
225|1504802|2015.0|381.0|3.6
226|1504901|2015.0|84.0|2.9
227|1504950|2015.0|79.0|3.1
228|1504976|2015.0|96.0|4.0
229|1505007|2015.0|15.0|2.9
230|1505031|2015.0|252.0|3.9
231|1505064|2015.0|270.0|2.9
232|1505106|2015.0|268.0|3.2
233|1505205|2015.0|133.0|2.9
234|1505304|2015.0|165.0|3.2
235|1505403|2015.0|115.0|3.2
236|1505437|2015.0|77.0|3.9
237|1505486|2015.0|140.0|3.2
238|1505494|2015.0|34.0|2.9
239|1505502|2015.0|835.0|4.1
240|1505536|2015.0|971.0|4.3
241|1505551|2015.0|11.0|3.4
242|1505601|2015.0|72.0|3.1
243|1505635|2015.0|78.0|3.6
244|1505650|2015.0|91.0|3.3
245|1505700|2015.0|15.0|3.1
246|1505809|2015.0|232.0|2.8
247|1505908|2015.0|123.0|2.5
248|1506005|2015.0|82.0|3.1
249|1506104|2015.0|57.0|3.3
250|1506112|2015.0|45.0|3.2
251|1506138|2015.0|452.0|3.6
252|1506161|2015.0|109.0|3.7
253|1506187|2015.0|112.0|3.8
254|1506195|2015.0|219.0|3.4
255|1506203|2015.0|79.0|3.4
256|1506302|2015.0|184.0|2.9
257|1506351|2015.0|193.0|3.3
258|1506401|2015.0|24.0|3.2
259|1506500|2015.0|332.0|3.5
260|1506559|2015.0|34.0|3.2
261|1506583|2015.0|81.0|3.4
262|1506609|2015.0|58.0|3.2
263|1506708|2015.0|21.0|2.7
264|1506807|2015.0|2010.0|3.9
265|1506906|2015.0|125.0|3.7
266|1507003|2015.0|162.0|3.4
