SIGLA;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
AC;2017;AC;12;1200013.0;199.30358705161854
AL;2017;AL;27;2700102.0;338.9399058432567
AM;2017;AM;13;1300029.0;245.2136926438456
AP;2017;AP;16;1600055.0;438.99182242990656
BA;2017;BA;29;2900108.0;224.3501065773447
CE;2017;CE;23;2300101.0;273.49493476592477
DF;2017;DF;53;5300108.0;1197.2909604519773
ES;2017;ES;32;3200102.0;377.12111937035417
GO;2017;GO;52;5200050.0;532.7694406548432
MA;2017;MA;21;2100055.0;208.38668670549188
MG;2017;MG;31;3100104.0;370.48596046186145
MS;2017;MS;50;5000203.0;848.2067748764996
MT;2017;MT;51;5100102.0;466.3777913735087
PA;2017;PA;15;1500107.0;224.00299768360813
PB;2017;PB;25;2500106.0;236.21941507620485
PE;2017;PE;26;2600054.0;281.36401673640165
PI;2017;PI;22;2200053.0;194.65325714285714
PR;2017;PR;41;4100103.0;587.8825586642599
RJ;2017;RJ;33;3300100.0;616.9057797946024
RN;2017;RN;24;2400109.0;274.8050351288056
RO;2017;RO;11;1100015.0;280.36494023904385
RR;2017;RR;14;1400027.0;293.01826923076925
RS;2017;RS;43;4300034.0;449.45730797912006
SC;2017;SC;42;4200051.0;431.6282629492962
SE;2017;SE;28;2800100.0;309.3590144700821
SP;2017;SP;35;3500105.0;641.1162950729424
TO;2017;TO;17;1700251.0;275.52281746031747
