;COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE;NM_MUN_2017
0;2700102.0;2017;AL;136.9016393442623;ÁGUA BRANCA
1;2700201.0;2017;AL;286.2692307692308;ANADIA
2;2700300.0;2017;AL;590.2936507936508;ARAPIRACA
3;2700409.0;2017;AL;269.8392857142857;ATALAIA
4;2700508.0;2017;AL;323.6;BARRA DE SANTO ANTÔNIO
5;2700607.0;2017;AL;433.0;BARRA DE SÃO MIGUEL
6;2700706.0;2017;AL;398.1111111111111;BATALHA
7;2700805.0;2017;AL;184.95;BELÉM
8;2700904.0;2017;AL;182.22727272727272;BELO MONTE
9;2701001.0;2017;AL;647.0;BOCA DA MATA
10;2701100.0;2017;AL;334.1363636363636;BRANQUINHA
11;2701209.0;2017;AL;194.48;CACIMBINHAS
12;2701308.0;2017;AL;350.5833333333333;CAJUEIRO
13;2701357.0;2017;AL;245.0;CAMPESTRE
14;2701407.0;2017;AL;628.3666666666667;CAMPO ALEGRE
15;2701506.0;2017;AL;173.88;CAMPO GRANDE
16;2701605.0;2017;AL;268.8;CANAPI
17;2701704.0;2017;AL;326.3333333333333;CAPELA
18;2701803.0;2017;AL;294.4375;CARNEIROS
19;2701902.0;2017;AL;148.17241379310346;CHÃ PRETA
20;2702009.0;2017;AL;204.03703703703704;COITÉ DO NÓIA
21;2702108.0;2017;AL;246.58620689655172;COLÔNIA LEOPOLDINA
22;2702207.0;2017;AL;339.3333333333333;COQUEIRO SECO
23;2702306.0;2017;AL;723.9032258064516;CORURIPE
24;2702355.0;2017;AL;349.25714285714287;CRAÍBAS
25;2702405.0;2017;AL;421.73333333333335;DELMIRO GOUVEIA
26;2702504.0;2017;AL;194.02941176470588;DOIS RIACHOS
27;2702553.0;2017;AL;238.43333333333334;ESTRELA DE ALAGOAS
28;2702603.0;2017;AL;267.95;FEIRA GRANDE
29;2702702.0;2017;AL;388.2857142857143;FELIZ DESERTO
30;2702801.0;2017;AL;233.45833333333334;FLEXEIRAS
31;2702900.0;2017;AL;252.609756097561;GIRAU DO PONCIANO
32;2703007.0;2017;AL;220.8148148148148;IBATEGUARA
33;2703106.0;2017;AL;197.0754716981132;IGACI
34;2703205.0;2017;AL;226.13636363636363;IGREJA NOVA
35;2703304.0;2017;AL;159.34615384615384;INHAPI
36;2703403.0;2017;AL;267.0;JACARÉ DOS HOMENS
37;2703502.0;2017;AL;225.52;JACUÍPE
38;2703601.0;2017;AL;201.11111111111111;JAPARATINGA
39;2703700.0;2017;AL;270.0;JARAMATAIA
40;2703759.0;2017;AL;283.22222222222223;JEQUIÁ DA PRAIA
41;2703809.0;2017;AL;286.0;JOAQUIM GOMES
42;2703908.0;2017;AL;186.2;JUNDIÁ
43;2704005.0;2017;AL;318.74;JUNQUEIRO
44;2704104.0;2017;AL;413.125;LAGOA DA CANOA
45;2704203.0;2017;AL;201.9206349206349;LIMOEIRO DE ANADIA
46;2704302.0;2017;AL;795.9357429718875;MACEIÓ
47;2704401.0;2017;AL;244.63636363636363;MAJOR ISIDORO
48;2704500.0;2017;AL;219.8490566037736;MARAGOGI
49;2704609.0;2017;AL;158.97368421052633;MARAVILHA
50;2704708.0;2017;AL;782.84375;MARECHAL DEODORO
51;2704807.0;2017;AL;214.26923076923077;MARIBONDO
52;2704906.0;2017;AL;155.85714285714286;MAR VERMELHO
53;2705002.0;2017;AL;175.5;MATA GRANDE
54;2705101.0;2017;AL;312.48387096774195;MATRIZ DE CAMARAGIBE
55;2705200.0;2017;AL;442.8235294117647;MESSIAS
56;2705309.0;2017;AL;200.45454545454547;MINADOR DO NEGRÃO
57;2705408.0;2017;AL;206.54545454545453;MONTEIRÓPOLIS
58;2705507.0;2017;AL;308.2826086956522;MURICI
59;2705606.0;2017;AL;257.8181818181818;NOVO LINO
60;2705705.0;2017;AL;240.28125;OLHO D'ÁGUA DAS FLORES
61;2705804.0;2017;AL;331.57142857142856;OLHO D'ÁGUA DO CASADO
62;2705903.0;2017;AL;105.55555555555556;OLHO D'ÁGUA GRANDE
63;2706000.0;2017;AL;159.76315789473685;OLIVENÇA
64;2706109.0;2017;AL;181.42105263157896;OURO BRANCO
