COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2511905.0;2013;PB;291.32142857142856
2512002.0;2013;PB;179.67391304347825
2512036.0;2013;PB;299.55555555555554
2512077.0;2013;PB;157.4814814814815
2512101.0;2013;PB;176.45348837209303
2512200.0;2013;PB;133.05882352941177
2512309.0;2013;PB;244.27659574468086
2512408.0;2013;PB;153.86111111111111
2512507.0;2013;PB;187.26923076923077
2512606.0;2013;PB;98.14285714285714
2512705.0;2013;PB;239.74193548387098
2512721.0;2013;PB;268.46153846153845
2512747.0;2013;PB;238.3846153846154
2512754.0;2013;PB;337.0769230769231
2512762.0;2013;PB;301.22222222222223
2512788.0;2013;PB;218.875
2512804.0;2013;PB;107.42222222222222
2512903.0;2013;PB;263.97435897435895
2513000.0;2013;PB;121.3529411764706
2513109.0;2013;PB;245.05405405405406
2513158.0;2013;PB;150.14285714285714
2513208.0;2013;PB;166.08695652173913
2513307.0;2013;PB;186.44
2513356.0;2013;PB;99.63333333333334
2513406.0;2013;PB;391.2
2513505.0;2013;PB;102.04878048780488
2513604.0;2013;PB;147.58620689655172
2513653.0;2013;PB;299.3
2513703.0;2013;PB;448.8404255319149
2513802.0;2013;PB;109.92592592592592
2513851.0;2013;PB;76.56
2513901.0;2013;PB;205.19230769230768
2513927.0;2013;PB;249.7
2513943.0;2013;PB;84.15
2513968.0;2013;PB;100.28571428571429
2513984.0;2013;PB;125.73333333333333
2514008.0;2013;PB;126.29629629629629
2514107.0;2013;PB;144.0
2514206.0;2013;PB;142.74074074074073
2514305.0;2013;PB;91.16666666666667
2514404.0;2013;PB;55.15384615384615
2514453.0;2013;PB;471.875
2514503.0;2013;PB;163.04
2514552.0;2013;PB;86.43478260869566
2514602.0;2013;PB;90.82608695652173
2514651.0;2013;PB;106.66666666666667
2514701.0;2013;PB;420.7142857142857
2514800.0;2013;PB;84.28
2514909.0;2013;PB;175.44444444444446
2515005.0;2013;PB;420.7857142857143
2515104.0;2013;PB;189.70967741935485
2515203.0;2013;PB;216.7
2515302.0;2013;PB;380.72222222222223
2515401.0;2013;PB;121.16
2515500.0;2013;PB;117.45652173913044
2515609.0;2013;PB;188.33333333333334
2515708.0;2013;PB;188.66666666666666
2515807.0;2013;PB;135.92307692307693
2515906.0;2013;PB;143.65384615384616
2515930.0;2013;PB;266.625
2515971.0;2013;PB;242.83333333333334
2516003.0;2013;PB;204.29166666666666
2516102.0;2013;PB;158.6046511627907
2516151.0;2013;PB;236.9090909090909
2516201.0;2013;PB;432.4
2516300.0;2013;PB;174.13953488372093
2516409.0;2013;PB;194.62962962962962
