COD_MUNIC_IBGE;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2608602.0;2017;PE;26;2608602.0;197.89473684210526
2608701.0;2017;PE;26;2608701.0;102.89090909090909
2608750.0;2017;PE;26;2608750.0;237.5625
2608800.0;2017;PE;26;2608800.0;355.47169811320754
2608909.0;2017;PE;26;2608909.0;327.15714285714284
2609006.0;2017;PE;26;2609006.0;277.6756756756757
2609105.0;2017;PE;26;2609105.0;248.26315789473685
2609154.0;2017;PE;26;2609154.0;112.74285714285715
2609204.0;2017;PE;26;2609204.0;269.47058823529414
2609303.0;2017;PE;26;2609303.0;148.2982456140351
2609402.0;2017;PE;26;2609402.0;231.43548387096774
2609501.0;2017;PE;26;2609501.0;461.1111111111111
2609600.0;2017;PE;26;2609600.0;634.1574803149606
2609709.0;2017;PE;26;2609709.0;286.7083333333333
2609808.0;2017;PE;26;2609808.0;194.0612244897959
2609907.0;2017;PE;26;2609907.0;119.5427135678392
2610004.0;2017;PE;26;2610004.0;330.86567164179104
2610103.0;2017;PE;26;2610103.0;154.0344827586207
2610202.0;2017;PE;26;2610202.0;198.68354430379748
2610301.0;2017;PE;26;2610301.0;135.4468085106383
2610400.0;2017;PE;26;2610400.0;114.60215053763442
2610509.0;2017;PE;26;2610509.0;202.3
2610608.0;2017;PE;26;2610608.0;489.9117647058824
2610707.0;2017;PE;26;2610707.0;679.2191780821918
2610806.0;2017;PE;26;2610806.0;122.31944444444444
2610905.0;2017;PE;26;2610905.0;289.1636363636364
2611002.0;2017;PE;26;2611002.0;341.1090909090909
2611101.0;2017;PE;26;2611101.0;390.49305555555554
2611200.0;2017;PE;26;2611200.0;201.6060606060606
2611309.0;2017;PE;26;2611309.0;196.0
2611408.0;2017;PE;26;2611408.0;207.95833333333334
2611507.0;2017;PE;26;2611507.0;209.46341463414635
2611533.0;2017;PE;26;2611533.0;229.8095238095238
2611606.0;2017;PE;26;2611606.0;667.7935368043088
2611705.0;2017;PE;26;2611705.0;183.91666666666666
2611804.0;2017;PE;26;2611804.0;294.52272727272725
2611903.0;2017;PE;26;2611903.0;292.41379310344826
2612000.0;2017;PE;26;2612000.0;205.15384615384616
2612109.0;2017;PE;26;2612109.0;144.0952380952381
2612208.0;2017;PE;26;2612208.0;362.7142857142857
2612307.0;2017;PE;26;2612307.0;141.24
2612406.0;2017;PE;26;2612406.0;250.07692307692307
2612455.0;2017;PE;26;2612455.0;136.73584905660377
2612471.0;2017;PE;26;2612471.0;241.04166666666666
2612505.0;2017;PE;26;2612505.0;618.45
2612554.0;2017;PE;26;2612554.0;84.74666666666667
2612604.0;2017;PE;26;2612604.0;209.27835051546393
2612703.0;2017;PE;26;2612703.0;190.71428571428572
2612802.0;2017;PE;26;2612802.0;197.30434782608697
2612901.0;2017;PE;26;2612901.0;139.4848484848485
2613008.0;2017;PE;26;2613008.0;214.4367816091954
2613107.0;2017;PE;26;2613107.0;242.5438596491228
2613206.0;2017;PE;26;2613206.0;171.52941176470588
2613305.0;2017;PE;26;2613305.0;218.075
2613404.0;2017;PE;26;2613404.0;348.1
2613503.0;2017;PE;26;2613503.0;168.67415730337078
2613602.0;2017;PE;26;2613602.0;243.5
2613701.0;2017;PE;26;2613701.0;441.9076923076923
2613800.0;2017;PE;26;2613800.0;228.25
2613909.0;2017;PE;26;2613909.0;216.99264705882354
2614006.0;2017;PE;26;2614006.0;127.72307692307692
2614105.0;2017;PE;26;2614105.0;221.9
2614204.0;2017;PE;26;2614204.0;276.1063829787234
2614303.0;2017;PE;26;2614303.0;124.78
2614402.0;2017;PE;26;2614402.0;103.03448275862068
2614501.0;2017;PE;26;2614501.0;338.21666666666664
2614600.0;2017;PE;26;2614600.0;288.9428571428571
2614709.0;2017;PE;26;2614709.0;137.56410256410257
2614808.0;2017;PE;26;2614808.0;294.86538461538464
2614857.0;2017;PE;26;2614857.0;198.18421052631578
2615003.0;2017;PE;26;2615003.0;217.55263157894737
2615102.0;2017;PE;26;2615102.0;95.73529411764706
2615201.0;2017;PE;26;2615201.0;139.73076923076923
2615300.0;2017;PE;26;2615300.0;362.0357142857143
2615409.0;2017;PE;26;2615409.0;433.45454545454544
2615508.0;2017;PE;26;2615508.0;310.875
2615607.0;2017;PE;26;2615607.0;333.92105263157896
2615706.0;2017;PE;26;2615706.0;213.85294117647058
2615805.0;2017;PE;26;2615805.0;157.3125
2615904.0;2017;PE;26;2615904.0;333.5
2616001.0;2017;PE;26;2616001.0;213.90697674418604
2616100.0;2017;PE;26;2616100.0;192.1851851851852
2616183.0;2017;PE;26;2616183.0;182.79166666666666
2616209.0;2017;PE;26;2616209.0;183.2941176470588
2616308.0;2017;PE;26;2616308.0;412.8125
2616407.0;2017;PE;26;2616407.0;405.1546391752577
2616506.0;2017;PE;26;2616506.0;313.86206896551727
