COD_MUNIC_IBGE;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2600054.0;2015;PE;26;2600054.0;445.74468085106383
2600104.0;2015;PE;26;2600104.0;283.640625
2600203.0;2015;PE;26;2600203.0;157.140625
2600302.0;2015;PE;26;2600302.0;237.86046511627907
2600401.0;2015;PE;26;2600401.0;163.05633802816902
2600500.0;2015;PE;26;2600500.0;125.71774193548387
2600609.0;2015;PE;26;2600609.0;297.3333333333333
2600708.0;2015;PE;26;2600708.0;582.5
2600807.0;2015;PE;26;2600807.0;114.68181818181819
2600906.0;2015;PE;26;2600906.0;178.29787234042553
2601003.0;2015;PE;26;2601003.0;182.54166666666666
2601052.0;2015;PE;26;2601052.0;470.7142857142857
2601102.0;2015;PE;26;2601102.0;230.12101910828025
2601201.0;2015;PE;26;2601201.0;388.6779661016949
2601300.0;2015;PE;26;2601300.0;242.0
2601409.0;2015;PE;26;2601409.0;349.42
2601508.0;2015;PE;26;2601508.0;207.47826086956522
2601607.0;2015;PE;26;2601607.0;86.824
2601706.0;2015;PE;26;2601706.0;262.9166666666667
2601805.0;2015;PE;26;2601805.0;160.37254901960785
2601904.0;2015;PE;26;2601904.0;246.95698924731184
2602001.0;2015;PE;26;2602001.0;175.5855855855856
2602100.0;2015;PE;26;2602100.0;192.0
2602209.0;2015;PE;26;2602209.0;202.6
2602308.0;2015;PE;26;2602308.0;316.14814814814815
2602407.0;2015;PE;26;2602407.0;117.25641025641026
2602506.0;2015;PE;26;2602506.0;169.08695652173913
2602605.0;2015;PE;26;2602605.0;249.82758620689654
2602704.0;2015;PE;26;2602704.0;201.14285714285714
2602803.0;2015;PE;26;2602803.0;145.56896551724137
2602902.0;2015;PE;26;2602902.0;385.83892617449663
2603009.0;2015;PE;26;2603009.0;216.3625
2603108.0;2015;PE;26;2603108.0;208.37037037037038
2603207.0;2015;PE;26;2603207.0;198.52941176470588
2603306.0;2015;PE;26;2603306.0;171.6153846153846
2603405.0;2015;PE;26;2603405.0;106.43333333333334
2603454.0;2015;PE;26;2603454.0;677.8039215686274
2603504.0;2015;PE;26;2603504.0;377.5263157894737
2603603.0;2015;PE;26;2603603.0;351.1666666666667
2603702.0;2015;PE;26;2603702.0;171.26923076923077
2603801.0;2015;PE;26;2603801.0;147.35593220338984
2603900.0;2015;PE;26;2603900.0;353.3783783783784
