COD_MUNIC_IBGE;ANO_CENSO;SIGLA;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
3513504.0;2013;SP;803.7361111111111
3513603.0;2013;SP;142.77894736842106
3513702.0;2013;SP;576.875
3513801.0;2013;SP;885.9541984732824
3513850.0;2013;SP;809.5
3513900.0;2013;SP;399.0833333333333
3514007.0;2013;SP;574.2857142857143
3514106.0;2013;SP;537.0625
3514205.0;2013;SP;881.0
3514304.0;2013;SP;760.6666666666666
3514403.0;2013;SP;769.4230769230769
3514502.0;2013;SP;502.0
3514601.0;2013;SP;653.4285714285714
3514700.0;2013;SP;723.25
3514809.0;2013;SP;169.671875
3514908.0;2013;SP;618.25
3514924.0;2013;SP;512.75
3514957.0;2013;SP;443.2
3515004.0;2013;SP;953.471264367816
3515103.0;2013;SP;436.7083333333333
3515129.0;2013;SP;632.6666666666666
3515152.0;2013;SP;777.5714285714286
3515186.0;2013;SP;499.3529411764706
3515194.0;2013;SP;456.8
3515202.0;2013;SP;813.25
3515301.0;2013;SP;506.8
3515350.0;2013;SP;571.4545454545455
3515400.0;2013;SP;385.8666666666667
3515509.0;2013;SP;671.6279069767442
3515608.0;2013;SP;472.42857142857144
3515657.0;2013;SP;587.6666666666666
3515707.0;2013;SP;781.7671232876712
3515806.0;2013;SP;372.5
3515905.0;2013;SP;874.0
3516002.0;2013;SP;517.7777777777778
3516101.0;2013;SP;580.25
3516200.0;2013;SP;820.5454545454545
3516309.0;2013;SP;679.9310344827586
3516408.0;2013;SP;468.79646017699116
3516507.0;2013;SP;686.0
3516606.0;2013;SP;679.75
3516705.0;2013;SP;540.1818181818181
3516804.0;2013;SP;664.0
3516853.0;2013;SP;517.0
3516903.0;2013;SP;596.4444444444445
3517000.0;2013;SP;538.7777777777778
3517109.0;2013;SP;596.4
3517208.0;2013;SP;442.09090909090907
3517307.0;2013;SP;618.4
3517406.0;2013;SP;567.36
3517505.0;2013;SP;791.4
3517604.0;2013;SP;317.25714285714287
3517703.0;2013;SP;709.0
3517802.0;2013;SP;357.8888888888889
3517901.0;2013;SP;767.125
3518008.0;2013;SP;756.0
3518107.0;2013;SP;421.85714285714283
3518206.0;2013;SP;450.55172413793105
3518305.0;2013;SP;378.3157894736842
3518404.0;2013;SP;998.2823529411764
3518503.0;2013;SP;285.3157894736842
3518602.0;2013;SP;738.52
3518701.0;2013;SP;946.57
3518800.0;2013;SP;1117.0703363914374
3518859.0;2013;SP;615.5714285714286
3518909.0;2013;SP;616.2
3519006.0;2013;SP;880.0
3519055.0;2013;SP;535.2307692307693
3519071.0;2013;SP;940.4615384615385
3519105.0;2013;SP;1017.5
3519204.0;2013;SP;396.5
3519253.0;2013;SP;432.3636363636364
3519303.0;2013;SP;730.6666666666666
3519402.0;2013;SP;716.6666666666666
3519501.0;2013;SP;556.1666666666666
3519600.0;2013;SP;693.1290322580645
3519709.0;2013;SP;315.8018867924528
3519808.0;2013;SP;759.2
3519907.0;2013;SP;1169.0
3520004.0;2013;SP;550.7647058823529
3520103.0;2013;SP;615.7777777777778
3520202.0;2013;SP;409.7692307692308
3520301.0;2013;SP;296.81666666666666
3520400.0;2013;SP;455.72972972972974
3520426.0;2013;SP;644.7777777777778
3520442.0;2013;SP;943.625
3520509.0;2013;SP;837.1650485436893
3520608.0;2013;SP;388.0
3520707.0;2013;SP;652.5
3520806.0;2013;SP;592.0
3520905.0;2013;SP;924.6666666666666
3521002.0;2013;SP;701.7777777777778
3521101.0;2013;SP;680.0
3521150.0;2013;SP;640.3333333333334
3521200.0;2013;SP;167.8
3521309.0;2013;SP;519.5333333333333
3521408.0;2013;SP;503.6875
3521507.0;2013;SP;811.0
3521606.0;2013;SP;326.6666666666667
3521705.0;2013;SP;397.8333333333333
3521804.0;2013;SP;582.55
3521903.0;2013;SP;553.4166666666666
3522000.0;2013;SP;647.0
3522109.0;2013;SP;755.0289855072464
3522158.0;2013;SP;354.5
3522208.0;2013;SP;672.3235294117648
3522307.0;2013;SP;538.8387096774194
3522406.0;2013;SP;650.2441860465116
3522505.0;2013;SP;877.7058823529412
3522604.0;2013;SP;465.84615384615387
3522653.0;2013;SP;377.8888888888889
3522703.0;2013;SP;438.10526315789474
3522802.0;2013;SP;459.8666666666667
3522901.0;2013;SP;603.8333333333334
3523008.0;2013;SP;631.5
3523107.0;2013;SP;885.4634146341464
3523206.0;2013;SP;703.5
3523305.0;2013;SP;377.96
3523404.0;2013;SP;757.9354838709677
3523503.0;2013;SP;562.5384615384615
3523602.0;2013;SP;661.0909090909091
3523701.0;2013;SP;707.8
3523800.0;2013;SP;584.75
3523909.0;2013;SP;522.3963963963964
3524006.0;2013;SP;477.28205128205127
3524105.0;2013;SP;651.4166666666666
3524204.0;2013;SP;832.2
3524303.0;2013;SP;573.8510638297872
3524402.0;2013;SP;641.9444444444445
3524501.0;2013;SP;684.0
3524600.0;2013;SP;199.17142857142858
3524709.0;2013;SP;561.9
3524808.0;2013;SP;860.2173913043479
3524907.0;2013;SP;921.75
3525003.0;2013;SP;764.3148148148148
3525102.0;2013;SP;580.8076923076923
3525201.0;2013;SP;507.6666666666667
3525300.0;2013;SP;587.4470588235295
3525409.0;2013;SP;554.0
3525508.0;2013;SP;439.27272727272725
3525607.0;2013;SP;668.3333333333334
3525706.0;2013;SP;570.952380952381
3525805.0;2013;SP;663.5
3525854.0;2013;SP;714.3333333333334
3525904.0;2013;SP;700.187134502924
3526001.0;2013;SP;680.8181818181819
3526100.0;2013;SP;221.8235294117647
3526209.0;2013;SP;551.0714285714286
3526308.0;2013;SP;909.3333333333334
3526407.0;2013;SP;639.3157894736842
3526506.0;2013;SP;368.25
3526605.0;2013;SP;574.125
3526704.0;2013;SP;697.968253968254
3526803.0;2013;SP;755.8444444444444
3526902.0;2013;SP;854.488188976378
3527009.0;2013;SP;671.0
3527108.0;2013;SP;750.2444444444444
3527207.0;2013;SP;503.74603174603175
3527256.0;2013;SP;478.0
3527306.0;2013;SP;710.6086956521739
3527405.0;2013;SP;638.9166666666666
3527504.0;2013;SP;583.0
3527603.0;2013;SP;987.5
3527702.0;2013;SP;498.0
3527801.0;2013;SP;485.85714285714283
3527900.0;2013;SP;996.0
3528007.0;2013;SP;858.5454545454545
3528106.0;2013;SP;732.3333333333334
3528205.0;2013;SP;884.6666666666666
3528304.0;2013;SP;587.5
3528403.0;2013;SP;578.9512195121952
3528502.0;2013;SP;527.4328358208955
3528601.0;2013;SP;451.625
3528700.0;2013;SP;379.875
3528809.0;2013;SP;725.0
3528858.0;2013;SP;661.3333333333334
3528908.0;2013;SP;548.5
3529005.0;2013;SP;730.6542056074767
3529104.0;2013;SP;1135.5
3529203.0;2013;SP;566.3333333333334
3529302.0;2013;SP;734.1555555555556
3529401.0;2013;SP;1089.954954954955
3529500.0;2013;SP;795.6666666666666
3529609.0;2013;SP;457.85714285714283
3529658.0;2013;SP;924.5
3529708.0;2013;SP;750.5
3529807.0;2013;SP;868.6666666666666
3529906.0;2013;SP;277.4791666666667
3530003.0;2013;SP;696.5
3530102.0;2013;SP;357.88
3530201.0;2013;SP;515.2272727272727
3530300.0;2013;SP;742.8148148148148
3530409.0;2013;SP;489.2
3530508.0;2013;SP;668.3095238095239
3530607.0;2013;SP;772.8376963350786
3530706.0;2013;SP;550.9320388349514
3530805.0;2013;SP;567.4307692307692
3530904.0;2013;SP;470.5
3531001.0;2013;SP;643.0
3531100.0;2013;SP;433.6949152542373
3531209.0;2013;SP;524.2857142857143
3531308.0;2013;SP;772.9615384615385
3531407.0;2013;SP;662.6
3531506.0;2013;SP;578.2666666666667
3531605.0;2013;SP;462.4
3531704.0;2013;SP;255.33333333333334
3531803.0;2013;SP;608.0666666666667
3531902.0;2013;SP;619.3333333333334
3532009.0;2013;SP;374.92857142857144
3532058.0;2013;SP;532.2
3532108.0;2013;SP;1131.0
3532157.0;2013;SP;603.6666666666666
3532207.0;2013;SP;1011.3333333333334
3532306.0;2013;SP;159.3
3532405.0;2013;SP;263.37931034482756
3532504.0;2013;SP;637.0
3532603.0;2013;SP;623.25
3532702.0;2013;SP;541.5
3532801.0;2013;SP;491.85714285714283
3532827.0;2013;SP;606.3333333333334
3532843.0;2013;SP;557.0
