COD_MUNIC_IBGE;ANO_CENSO;UF_PROPONENTE;CD_GEOCUF;CD_GEOCODM;MEDIA_PONTUACAO_ESCOLAS_POR_CIDADE
2307304.0;2015;CE;23;2307304.0;599.2932330827068
2307403.0;2015;CE;23;2307403.0;177.23809523809524
2307502.0;2015;CE;23;2307502.0;265.57894736842104
2307601.0;2015;CE;23;2307601.0;455.53333333333336
2307635.0;2015;CE;23;2307635.0;153.87301587301587
2307650.0;2015;CE;23;2307650.0;787.6517857142857
2307700.0;2015;CE;23;2307700.0;265.8814814814815
2307809.0;2015;CE;23;2307809.0;248.8135593220339
2307908.0;2015;CE;23;2307908.0;320.962962962963
2308005.0;2015;CE;23;2308005.0;285.9718309859155
2308104.0;2015;CE;23;2308104.0;395.53125
2308203.0;2015;CE;23;2308203.0;258.73333333333335
2308302.0;2015;CE;23;2308302.0;236.125
2308351.0;2015;CE;23;2308351.0;114.95238095238095
2308377.0;2015;CE;23;2308377.0;184.1086956521739
2308401.0;2015;CE;23;2308401.0;169.32258064516128
2308500.0;2015;CE;23;2308500.0;149.89430894308944
2308609.0;2015;CE;23;2308609.0;177.4931506849315
2308708.0;2015;CE;23;2308708.0;233.67796610169492
2308807.0;2015;CE;23;2308807.0;284.14285714285717
2308906.0;2015;CE;23;2308906.0;228.3
2309003.0;2015;CE;23;2309003.0;217.43243243243242
2309102.0;2015;CE;23;2309102.0;167.44
2309201.0;2015;CE;23;2309201.0;275.0357142857143
2309300.0;2015;CE;23;2309300.0;185.4
2309409.0;2015;CE;23;2309409.0;151.9240506329114
2309458.0;2015;CE;23;2309458.0;229.89795918367346
2309508.0;2015;CE;23;2309508.0;220.375
2309607.0;2015;CE;23;2309607.0;390.2028985507246
2309706.0;2015;CE;23;2309706.0;615.0238095238095
2309805.0;2015;CE;23;2309805.0;248.73076923076923
2309904.0;2015;CE;23;2309904.0;233.2
2310001.0;2015;CE;23;2310001.0;295.5882352941176
2310100.0;2015;CE;23;2310100.0;212.27586206896552
2310209.0;2015;CE;23;2310209.0;334.09090909090907
2310258.0;2015;CE;23;2310258.0;350.1190476190476
2310308.0;2015;CE;23;2310308.0;120.91005291005291
2310407.0;2015;CE;23;2310407.0;99.82089552238806
2310506.0;2015;CE;23;2310506.0;211.38260869565218
2310605.0;2015;CE;23;2310605.0;309.5
2310704.0;2015;CE;23;2310704.0;307.1551724137931
2310803.0;2015;CE;23;2310803.0;234.55102040816325
2310852.0;2015;CE;23;2310852.0;429.45454545454544
2310902.0;2015;CE;23;2310902.0;336.9375
2310951.0;2015;CE;23;2310951.0;195.0
2311009.0;2015;CE;23;2311009.0;162.63829787234042
2311108.0;2015;CE;23;2311108.0;176.015873015873
2311207.0;2015;CE;23;2311207.0;165.08823529411765
2311231.0;2015;CE;23;2311231.0;194.2173913043478
2311264.0;2015;CE;23;2311264.0;126.42201834862385
2311306.0;2015;CE;23;2311306.0;193.85294117647058
2311355.0;2015;CE;23;2311355.0;198.8
2311405.0;2015;CE;23;2311405.0;242.4
2311504.0;2015;CE;23;2311504.0;269.38709677419354
2311603.0;2015;CE;23;2311603.0;289.44444444444446
2311702.0;2015;CE;23;2311702.0;278.95238095238096
2311801.0;2015;CE;23;2311801.0;302.5483870967742
2311900.0;2015;CE;23;2311900.0;142.5090909090909
2311959.0;2015;CE;23;2311959.0;345.60526315789474
2312007.0;2015;CE;23;2312007.0;59.28140703517588
2312106.0;2015;CE;23;2312106.0;207.52272727272728
2312205.0;2015;CE;23;2312205.0;153.42758620689656
2312304.0;2015;CE;23;2312304.0;253.6578947368421
2312403.0;2015;CE;23;2312403.0;401.87931034482756
2312502.0;2015;CE;23;2312502.0;115.79411764705883
2312601.0;2015;CE;23;2312601.0;221.55172413793105
2312700.0;2015;CE;23;2312700.0;197.20833333333334
2312809.0;2015;CE;23;2312809.0;213.56521739130434
2312908.0;2015;CE;23;2312908.0;461.375
2313005.0;2015;CE;23;2313005.0;131.4
2313104.0;2015;CE;23;2313104.0;274.390243902439
2313203.0;2015;CE;23;2313203.0;92.41988950276243
2313252.0;2015;CE;23;2313252.0;229.65217391304347
2313302.0;2015;CE;23;2313302.0;208.0625
2313351.0;2015;CE;23;2313351.0;197.015873015873
2313401.0;2015;CE;23;2313401.0;252.60927152317882
2313500.0;2015;CE;23;2313500.0;199.73553719008265
2313559.0;2015;CE;23;2313559.0;490.0833333333333
2313609.0;2015;CE;23;2313609.0;256.2542372881356
2313708.0;2015;CE;23;2313708.0;147.35714285714286
2313757.0;2015;CE;23;2313757.0;191.41176470588235
2313807.0;2015;CE;23;2313807.0;371.975
2313906.0;2015;CE;23;2313906.0;214.425
2313955.0;2015;CE;23;2313955.0;401.625
2314003.0;2015;CE;23;2314003.0;175.06976744186048
2314102.0;2015;CE;23;2314102.0;206.64197530864197
