CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO
3168705|2015.0|31191485.0|335.1967213114754|10.098360655737705|3.469964433917192|52.0|10.229508196721312|676.0819672131148
3168804|2015.0|31134881.0|142.9|8.0|23.06160932575918|9.0|5.6|424.7
3168903|2015.0|31119661.0|182.55555555555554|4.0|2.2775379845055808|6.0|6.444444444444445|405.77777777777777
3169000|2015.0|31181731.0|289.46153846153845|7.076923076923077|1.4812470585651292|13.0|9.23076923076923|633.3846153846154
3169059|2015.0|31054402.0|115.71428571428571|2.2857142857142856|3.1173294059892|4.0|5.285714285714286|391.85714285714283
3169109|2015.0|31056758.0|254.0|6.333333333333333|1.9021717216372245|5.0|8.333333333333334|519.1666666666666
3169208|2015.0|31099473.0|182.1|7.7|7.022056639711752|9.0|7.2|523.5
3169307|2015.0|31013511.0|321.8421052631579|11.280701754385966|5.847456062133862|50.0|9.140350877192983|673.1754385964912
3169356|2015.0|31141976.0|275.35483870967744|7.741935483870968|2.9478388133929734|29.0|8.32258064516129|617.0
3169406|2015.0|31174530.0|362.9166666666667|9.222222222222221|3.8083199269419703|34.0|9.75|746.4722222222222
3169505|2015.0|31045730.0|219.0|8.75|5.281786759461657|7.0|7.875|570.0
3169604|2015.0|31167118.0|418.8888888888889|8.0|2.2908904243189046|14.0|10.277777777777779|796.0
3169703|2015.0|31025011.0|185.8|3.2666666666666666|2.1348221013492807|16.0|5.433333333333334|411.0
3169802|2015.0|31174858.0|358.3333333333333|11.0|1.9784172661870505|2.0|10.333333333333334|695.6666666666666
3169901|2015.0|31181820.0|430.1666666666667|12.033333333333333|3.6002427577910208|58.0|11.066666666666666|800.8666666666667
3170008|2015.0|31063452.0|149.45833333333334|5.041666666666667|4.306984958396172|6.0|4.25|331.9166666666667
3170057|2015.0|31020052.0|210.57142857142858|5.714285714285714|2.1728635797667213|7.0|6.5|454.92857142857144
3170107|2015.0|31020348.0|501.6358024691358|15.135802469135802|5.594066294032822|159.0|13.790123456790123|984.4320987654321
3170206|2015.0|31009107.0|474.13271604938274|14.462962962962964|4.159210379296589|316.0|13.410493827160494|1013.6851851851852
3170305|2015.0|31148458.0|229.0|9.0|3.2437365189978435|3.0|10.333333333333334|652.0
3170404|2015.0|31108987.0|427.0869565217391|14.391304347826088|3.787101965611119|40.0|11.108695652173912|871.304347826087
3170438|2015.0|31159310.0|321.3333333333333|16.0|5.890850596359072|3.0|11.0|901.6666666666666
3170479|2015.0|31114111.0|213.4|6.6|3.542961245526766|4.0|6.0|507.4
3170503|2015.0|31129801.0|297.75|5.125|1.5349938804994985|8.0|8.125|627.75
3170529|2015.0|31063428.0|178.75|3.6666666666666665|17.69410211994347|12.0|6.916666666666667|532.0
3170578|2015.0|31020214.0|437.0|3.3333333333333335|0.45662100456621|3.0|10.333333333333334|770.6666666666666
3170602|2015.0|31115835.0|92.4|10.6|12.802543174060201|4.0|6.2|419.2
3170651|2015.0|31082384.0|245.66666666666666|3.0|0.6629039724988427|6.0|4.333333333333333|497.0
3170701|2015.0|31174882.0|344.4117647058824|14.717647058823529|9.240794394087784|81.0|11.576470588235294|780.1647058823529
3170750|2015.0|31119521.0|270.1666666666667|3.3333333333333335|5.537852898617653|5.0|7.666666666666667|510.6666666666667
3170800|2015.0|31082929.0|342.3225806451613|11.258064516129032|7.4801088546415375|27.0|7.903225806451613|596.8709677419355
3170909|2015.0|31063509.0|169.3421052631579|6.2631578947368425|5.755219433745034|27.0|5.542857142857143|464.65714285714284
3171006|2015.0|31109134.0|230.65217391304347|8.08695652173913|4.478142422911499|19.0|9.695652173913043|625.7391304347826
3171030|2015.0|31063592.0|146.44444444444446|3.2222222222222223|9.888294282185035|12.0|4.666666666666667|347.6111111111111
3171071|2015.0|31025062.0|154.63636363636363|6.454545454545454|13.39978821205953|5.0|5.0|397.1818181818182
3171105|2015.0|31160318.0|218.25|3.75|0.9172317857763868|2.0|7.25|508.5
3171154|2015.0|31129321.0|398.3333333333333|9.333333333333334|1.619714090188052|2.0|11.0|729.6666666666666
3171204|2015.0|31010979.0|515.4035087719299|10.824561403508772|2.6444657027440384|55.0|10.543859649122806|850.3333333333334
3171303|2015.0|31128074.0|291.0625|6.625|4.477061088265804|51.0|9.109375|581.140625
3171402|2015.0|31099562.0|131.83333333333334|11.333333333333334|17.606751085443445|6.0|6.0|412.6666666666667
3171501|2015.0|31045764.0|295.0|3.75|0.8046147752030105|3.0|6.75|708.25
3171600|2015.0|31148474.0|151.14285714285714|7.142857142857143|26.34115721508413|12.0|5.0|369.0952380952381
3171709|2015.0|31175137.0|160.0|8.454545454545455|8.928511884280384|4.0|5.909090909090909|410.3636363636364
3171808|2015.0|31045799.0|172.75|9.5625|4.023671630317472|10.0|5.9375|377.1875
3171907|2015.0|31045829.0|210.83333333333334|6.5|3.028156654297463|5.0|7.0|534.6666666666666
3172004|2015.0|31182150.0|276.6|3.914285714285714|1.0883491536613854|22.0|8.885714285714286|530.5142857142857
3172103|2015.0|31099589.0|184.5|13.666666666666666|13.261568833478002|3.0|5.666666666666667|584.6666666666666
3172202|2015.0|31056791.0|118.2|6.2|1.9314641744548287|1.0|3.2|285.4
3200102|2015.0|32025700.0|144.11764705882354|8.254901960784315|8.298782915238904|38.0|4.431372549019608|394.52941176470586
3200136|2015.0|32004966.0|184.0|7.933333333333334|4.320184437655131|10.0|5.733333333333333|515.5333333333333
3200169|2015.0|32000022.0|178.57894736842104|9.368421052631579|4.0888957829088435|13.0|4.631578947368421|400.3157894736842
3200201|2015.0|32045263.0|202.42105263157896|14.131578947368421|6.748241921880954|19.0|7.7631578947368425|597.3947368421053
3200300|2015.0|32041691.0|80.05714285714286|4.828571428571428|7.581202603304497|11.0|3.8285714285714287|299.0571428571429
3200359|2015.0|32008953.0|165.30769230769232|5.769230769230769|2.832459140025425|8.0|4.538461538461538|416.9230769230769
3200409|2015.0|32042558.0|194.87234042553192|5.297872340425532|2.1327552601461353|22.0|7.659574468085107|609.1914893617021
3200508|2015.0|32050984.0|129.0909090909091|4.818181818181818|6.500029658586675|4.0|8.545454545454545|392.1818181818182
