CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE
1100015|2017.0|101.0
1100023|2017.0|873.0
1100031|2017.0|57.0
1100049|2017.0|856.0
1100056|2017.0|128.0
1100064|2017.0|292.0
1100072|2017.0|64.0
1100080|2017.0|70.0
1100098|2017.0|231.0
1100106|2017.0|390.0
1100114|2017.0|350.0
1100122|2017.0|1050.0
1100130|2017.0|92.0
1100148|2017.0|93.0
1100155|2017.0|304.0
1100189|2017.0|254.0
1100205|2017.0|2839.0
1100254|2017.0|136.0
1100262|2017.0|5.0
1100288|2017.0|391.0
1100296|2017.0|32.0
1100304|2017.0|607.0
1100320|2017.0|89.0
1100338|2017.0|101.0
1100346|2017.0|75.0
1100379|2017.0|23.0
1100403|2017.0|132.0
1100452|2017.0|125.0
1100502|2017.0|71.0
1100601|2017.0|32.0
1100700|2017.0|42.0
1100809|2017.0|21.0
1100908|2017.0|12.0
1100924|2017.0|63.0
1100940|2017.0|33.0
1101005|2017.0|25.0
1101104|2017.0|1.0
1101203|2017.0|34.0
1101302|2017.0|106.0
1101401|2017.0|43.0
1101435|2017.0|32.0
1101450|2017.0|43.0
1101468|2017.0|8.0
1101476|2017.0|46.0
1101484|2017.0|54.0
1101492|2017.0|84.0
1101500|2017.0|49.0
1101559|2017.0|10.0
1101609|2017.0|21.0
1101708|2017.0|26.0
1101757|2017.0|20.0
1101807|2017.0|53.0
1200013|2017.0|72.0
1200054|2017.0|30.0
1200104|2017.0|105.0
1200138|2017.0|13.0
1200179|2017.0|18.0
1200203|2017.0|738.0
1200252|2017.0|28.0
1200302|2017.0|147.0
1200328|2017.0|5.0
1200336|2017.0|107.0
1200344|2017.0|55.0
1200351|2017.0|32.0
1200385|2017.0|145.0
1200393|2017.0|37.0
1200401|2017.0|2197.0
1200427|2017.0|79.0
1200435|2017.0|76.0
1200450|2017.0|97.0
1200500|2017.0|230.0
1200609|2017.0|240.0
1200708|2017.0|89.0
1200807|2017.0|46.0
1300029|2017.0|62.0
1300060|2017.0|62.0
1300086|2017.0|117.0
1300102|2017.0|118.0
1300144|2017.0|40.0
1300201|2017.0|83.0
1300300|2017.0|237.0
1300409|2017.0|91.0
1300508|2017.0|198.0
1300607|2017.0|112.0
1300631|2017.0|94.0
1300680|2017.0|61.0
1300706|2017.0|143.0
1300805|2017.0|239.0
1300839|2017.0|77.0
1300904|2017.0|40.0
1301001|2017.0|215.0
1301100|2017.0|176.0
1301159|2017.0|178.0
1301209|2017.0|406.0
1301308|2017.0|155.0
1301407|2017.0|246.0
1301506|2017.0|103.0
1301605|2017.0|90.0
1301654|2017.0|49.0
1301704|2017.0|316.0
1301803|2017.0|32.0
1301852|2017.0|164.0
1301902|2017.0|504.0
1301951|2017.0|73.0
1302009|2017.0|13.0
1302108|2017.0|39.0
1302207|2017.0|82.0
1302306|2017.0|30.0
1302405|2017.0|230.0
1302504|2017.0|571.0
1302553|2017.0|81.0
1302603|2017.0|11703.0
1302702|2017.0|321.0
1302801|2017.0|48.0
1302900|2017.0|303.0
1303007|2017.0|86.0
1303106|2017.0|306.0
1303205|2017.0|140.0
1303304|2017.0|94.0
1303403|2017.0|719.0
1303502|2017.0|49.0
1303536|2017.0|286.0
1303569|2017.0|141.0
1303601|2017.0|72.0
1303700|2017.0|56.0
1303809|2017.0|202.0
1303908|2017.0|125.0
1303957|2017.0|73.0
1304005|2017.0|24.0
1304062|2017.0|197.0
1304104|2017.0|29.0
1304203|2017.0|507.0
1304237|2017.0|57.0
1304260|2017.0|61.0
1304302|2017.0|169.0
1304401|2017.0|68.0
1400027|2017.0|56.0
1400050|2017.0|90.0
1400100|2017.0|2540.0
1400159|2017.0|64.0
1400175|2017.0|94.0
1400209|2017.0|116.0
1400233|2017.0|97.0
1400282|2017.0|53.0
1400308|2017.0|71.0
1400407|2017.0|75.0
1400456|2017.0|51.0
1400472|2017.0|87.0
1400506|2017.0|27.0
1400605|2017.0|43.0
1400704|2017.0|54.0
1500107|2017.0|1026.0
1500131|2017.0|8.0
1500206|2017.0|127.0
1500305|2017.0|56.0
1500347|2017.0|40.0
1500404|2017.0|317.0
1500503|2017.0|134.0
1500602|2017.0|768.0
1500701|2017.0|16.0
1500800|2017.0|1656.0
1500859|2017.0|115.0
1500909|2017.0|336.0
1500958|2017.0|0.0
1501006|2017.0|141.0
1501105|2017.0|21.0
1501204|2017.0|18.0
1501253|2017.0|14.0
1501303|2017.0|547.0
1501402|2017.0|5409.0
1501451|2017.0|77.0
1501501|2017.0|137.0
1501576|2017.0|45.0
1501600|2017.0|61.0
1501709|2017.0|978.0
1501725|2017.0|89.0
1501758|2017.0|81.0
1501782|2017.0|163.0
1501808|2017.0|614.0
1501907|2017.0|110.0
1501956|2017.0|44.0
1502004|2017.0|17.0
1502103|2017.0|405.0
1502152|2017.0|218.0
1502202|2017.0|218.0
1502301|2017.0|143.0
1502400|2017.0|894.0
1502509|2017.0|21.0
1502608|2017.0|47.0
1502707|2017.0|374.0
1502756|2017.0|78.0
1502764|2017.0|9.0
1502772|2017.0|116.0
1502806|2017.0|57.0
1502855|2017.0|94.0
1502905|2017.0|143.0
1502939|2017.0|244.0
1502954|2017.0|112.0
1503002|2017.0|0.0
1503044|2017.0|114.0
1503077|2017.0|11.0
1503093|2017.0|155.0
1503101|2017.0|133.0
1503200|2017.0|101.0
1503309|2017.0|124.0
1503408|2017.0|57.0
1503457|2017.0|62.0
1503507|2017.0|68.0
1503606|2017.0|579.0
1503705|2017.0|56.0
1503754|2017.0|56.0
1503804|2017.0|174.0
1503903|2017.0|173.0
1504000|2017.0|125.0
1504059|2017.0|336.0
1504109|2017.0|0.0
1504208|2017.0|2038.0
1504307|2017.0|59.0
1504406|2017.0|123.0
1504422|2017.0|465.0
1504455|2017.0|145.0
1504505|2017.0|60.0
1504604|2017.0|134.0
1504703|2017.0|125.0
1504752|2017.0|77.0
1504802|2017.0|336.0
1504901|2017.0|24.0
1504950|2017.0|60.0
1504976|2017.0|82.0
1505007|2017.0|22.0
1505031|2017.0|102.0
1505064|2017.0|245.0
1505106|2017.0|310.0
1505205|2017.0|138.0
1505304|2017.0|139.0
1505403|2017.0|75.0
1505437|2017.0|152.0
1505486|2017.0|139.0
1505494|2017.0|17.0
1505502|2017.0|914.0
1505536|2017.0|996.0
1505551|2017.0|0.0
1505601|2017.0|67.0
1505635|2017.0|24.0
1505650|2017.0|81.0
1505700|2017.0|35.0
1505809|2017.0|139.0
1505908|2017.0|43.0
1506005|2017.0|64.0
1506104|2017.0|90.0
1506112|2017.0|13.0
1506138|2017.0|428.0
1506161|2017.0|97.0
1506187|2017.0|34.0
